-	ChatGPT	-	proper	18B	-	-	-	-	-
-	Excel	-	proper	6	-	-	-	-	-
-	GIMP	-	proper	5B	-	-	-	-	-
-	Grindr	-	proper	6	-	-	-	-	-
-	Paint	-	proper	5	-	-	-	-	-
-	Photoshop	-	proper	5	-	-	-	-	-
-	Roblox	-	proper	5	-	-	-	-	-
-	Signal	-	proper	6	-	-	-	-	-
-	Skype	-	proper	8	-	-	-	-	-
-	Slack	-	proper	5	-	-	-	-	-
-	Spotify	-	proper	1	-	back	-	-	-
-	Teams	-	proper	5	-	-	-	-	-
-	Telegram	-	proper	5	-	-	-	-	-
-	TikTok	-	proper	5	-	-	-	-	-
-	Tiktok	-	proper	5	-	-	-	-	-
-	Tinder	-	proper	6	-	-	-	-	-
-	Unity	-	proper	1	-	-	-	-	-
-	WeChat	-	proper	5	-	-	-	-	-
-	WhatsApp	-	proper	5	-	-	-	-	-
-	Word	-	proper	5	-	-	-	-	-
-	Zoom	-	proper	5	-	-	-	-	-
-	iTunes	-	proper	5	-	-	-	-	-
